Raw or SAHI,Confidence,Sahi Slice Ratio,Class,Success Rate,Sahi Raw Input
raw,0.68,0,mot,0.693099478589793,2
raw,0.69,0,mot,0.6811212667509385,2
raw,0.7,0,mot,0.6481684882916259,2
raw,0.71,0,mot,0.6357817494422237,2
raw,0.72,0,mot,0.6406837102265374,2
raw,0.73,0,mot,0.6173581472325348,2
raw,0.74,0,mot,0.5913047265167577,2
raw,0.75,0,mot,0.5745670145951272,2
raw,0.76,0,mot,0.5745670145951272,2
raw,0.77,0,mot,0.5676943889336392,2
raw,0.78,0,mot,0.5577055305575284,2
raw,0.79,0,mot,0.49618162918630665,2
raw,0.8,0,mot,0.44715824566187073,2
raw,0.81,0,mot,0.4017448653719956,2
raw,0.82,0,mot,0.37624768430016603,2
raw,0.83,0,mot,0.3656744501320867,2
raw,0.84,0,mot,0.35247069291705047,2
raw,0.85,0,mot,0.300058929232183,2
raw,0.86,0,mot,0.2583847306205219,2
raw,0.87,0,mot,0.21843966481465754,2
raw,0.88,0,mot,0.16526057668590172,2
raw,0.89,0,mot,0.09699686639707,2
raw,0.9,0,mot,0.027445043281770838,2
raw,0.91,0,mot,0.0,2
raw,0.92,0,mot,0.0,2
raw,0.93,0,mot,0.0,2
raw,0.94,0,mot,0.0,2
raw,0.95,0,mot,0.0,2
raw,0.96,0,mot,0.0,2
raw,0.97,0,mot,0.0,2
raw,0.98,0,mot,0.0,2
raw,0.99,0,mot,0.0,2
raw,0.0,0,bus,0.7386345547698157,2
raw,0.01,0,bus,0.7386345547698157,2
raw,0.02,0,bus,0.7460419621772231,2
raw,0.03,0,bus,0.7534493695846304,2
raw,0.04,0,bus,0.7534493695846304,2
raw,0.05,0,bus,0.7534493695846304,2
raw,0.06,0,bus,0.7534493695846304,2
raw,0.07,0,bus,0.7534493695846304,2
raw,0.08,0,bus,0.7534493695846304,2
raw,0.09,0,bus,0.7534493695846304,2
raw,0.1,0,bus,0.7534493695846304,2
raw,0.11,0,bus,0.7534493695846304,2
raw,0.12,0,bus,0.7608567769920378,2
raw,0.13,0,bus,0.7608567769920378,2
raw,0.14,0,bus,0.7608567769920378,2
raw,0.15,0,bus,0.7608567769920378,2
raw,0.16,0,bus,0.7608567769920378,2
raw,0.17,0,bus,0.7608567769920378,2
